Iter(K),mIoU(%),mDice(%)
1K,62.72,74.29
2K,71.11,81.56
3K,73.19,83.17
4K,75.01,84.56
5K,75.28,84.79
6K,70.01,80.66
7K,74.73,84.37
8K,75.75,85.10
9K,76.08,85.40
10K,77.26,86.23
11K,77.51,86.40
12K,77.99,86.73
13K,79.13,87.54
14K,78.77,87.28
15K,78.24,86.89
16K,80.10,88.20
17K,80.98,88.83
18K,81.42,89.16
19K,81.74,89.38
20K,81.64,89.32
21K,82.61,89.97
22K,82.83,90.11
23K,82.54,89.92
24K,81.91,89.51
25K,80.69,88.53
26K,82.39,89.77
27K,82.47,89.83
28K,82.37,89.77
29K,82.91,90.14
30K,82.94,90.17
31K,83.04,90.24
32K,83.17,90.33
33K,83.12,90.29
34K,83.40,90.49
35K,82.85,90.15
36K,83.38,90.48
37K,83.34,90.48
38K,83.25,90.42
39K,83.28,90.44
40K,83.34,90.46
41K,83.30,90.45
42K,83.21,90.39
43K,83.36,90.48
44K,83.47,90.57
45K,83.67,90.69
46K,83.36,90.49
47K,82.69,90.06
48K,82.84,90.14
49K,83.53,90.59
50K,83.10,90.32
51K,83.34,90.47
52K,83.38,90.51
53K,83.11,90.34
54K,83.49,90.57
55K,83.48,90.59
56K,83.89,90.83
57K,83.68,90.70
58K,83.64,90.66
59K,83.72,90.73
60K,83.62,90.66
61K,83.63,90.67
62K,83.83,90.80
63K,83.55,90.62
64K,83.63,90.67
65K,83.62,90.66
66K,83.61,90.65
